2013-07-12 16:43:25,441 res_partner_address.csv row[   0] col[ 0] INFO     Logger set to 'res_partner_address.csv'
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Lines: 29
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Offset: 1
2013-07-12 16:43:25,629 res_partner_address.csv row[   0] col[ 0] INFO     Limit: -1
2013-07-12 16:43:25,970 res_partner_address.csv row[   5] col[ 0] INFO     <res.partner              > UPDATE 'Ecole de Commerce de Liege'[12]
2013-07-12 16:43:25,972 res_partner_address.csv row[   5] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,000 res_partner_address.csv row[   5] col[ 0] INFO     <res.partner.address      > CREATE 'Karine Lesbrouffe, Liege, 2 Impasse de la Soif'[102]
2013-07-12 16:43:26,032 res_partner_address.csv row[   6] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,049 res_partner_address.csv row[   6] col[ 0] INFO     <res.partner              > UPDATE 'Axelor'[7]
2013-07-12 16:43:26,056 res_partner_address.csv row[   6] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,068 res_partner_address.csv row[   6] col[ 0] INFO     <res.partner.address      > CREATE 'Laith Jubair, Champs sur Marne, 12 rue Albert Einstein'[103]
2013-07-12 16:43:26,125 res_partner_address.csv row[   7] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,170 res_partner_address.csv row[   7] col[ 0] INFO     <res.partner              > UPDATE 'Tecsas'[18]
2013-07-12 16:43:26,173 res_partner_address.csv row[   7] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,216 res_partner_address.csv row[   7] col[ 0] INFO     <res.partner.address      > CREATE 'Laurent Jacot, Avignon CEDEX 09, 85 rue du traite de Rome'[104]
2013-07-12 16:43:26,270 res_partner_address.csv row[   8] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,290 res_partner_address.csv row[   8] col[ 0] INFO     <res.partner              > UPDATE 'Tecsas'[18]
2013-07-12 16:43:26,293 res_partner_address.csv row[   8] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,319 res_partner_address.csv row[   8] col[ 0] INFO     <res.partner.address      > CREATE 'Loic Dupont, Grenoble, Rue Lavoisier 145'[105]
2013-07-12 16:43:26,368 res_partner_address.csv row[   9] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,396 res_partner_address.csv row[   9] col[ 0] INFO     <res.partner              > UPDATE 'Magazin BML 1'[21]
2013-07-12 16:43:26,412 res_partner_address.csv row[   9] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,427 res_partner_address.csv row[   9] col[ 0] INFO     <res.partner.address      > CREATE 'Lucien Ferguson, Namur, 89 Chaussee de Liege'[106]
2013-07-12 16:43:26,466 res_partner_address.csv row[  10] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,517 res_partner_address.csv row[  10] col[ 0] INFO     <res.partner              > UPDATE 'Camptocamp'[4]
2013-07-12 16:43:26,527 res_partner_address.csv row[  10] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,555 res_partner_address.csv row[  10] col[ 0] INFO     <res.partner.address      > CREATE 'Luc Maurer, Lausanne, PSE-A, EPFL'[107]
2013-07-12 16:43:26,599 res_partner_address.csv row[  11] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,624 res_partner_address.csv row[  11] col[ 0] INFO     <res.partner              > UPDATE 'Leclerc'[19]
2013-07-12 16:43:26,629 res_partner_address.csv row[  11] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,655 res_partner_address.csv row[  11] col[ 0] INFO     <res.partner.address      > CREATE 'Marine Leclerc, Brest, rue Grande'[108]
2013-07-12 16:43:26,683 res_partner_address.csv row[  12] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,700 res_partner_address.csv row[  12] col[ 0] INFO     <res.partner              > UPDATE 'Universite de Liege'[47]
2013-07-12 16:43:26,702 res_partner_address.csv row[  12] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,727 res_partner_address.csv row[  12] col[ 0] INFO     <res.partner.address      > CREATE 'Martine Ohio, Liege, Place du 20Aout'[109]
2013-07-12 16:43:26,783 res_partner_address.csv row[  13] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,831 res_partner_address.csv row[  13] col[ 0] INFO     <res.partner              > UPDATE 'BalmerInc S.A.'[17]
2013-07-12 16:43:26,837 res_partner_address.csv row[  13] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,857 res_partner_address.csv row[  13] col[ 0] INFO     <res.partner.address      > CREATE 'Michel Schumacher, Bruxelles, Rue des Palais 51, bte 33'[110]
2013-07-12 16:43:26,907 res_partner_address.csv row[  14] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:26,944 res_partner_address.csv row[  14] col[ 0] INFO     <res.partner              > UPDATE 'NotSoTiny SARL'[27]
2013-07-12 16:43:26,948 res_partner_address.csv row[  14] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:26,965 res_partner_address.csv row[  14] col[ 0] INFO     <res.partner.address      > CREATE 'NotSoTiny SARL, Namur, Rue du Nid 1'[111]
2013-07-12 16:43:26,998 res_partner_address.csv row[  15] col[ 0] INFO     <res.users                > NO UPDATE 'Lucie Weiss'[4]
2013-07-12 16:43:27,013 res_partner_address.csv row[  15] col[ 0] INFO     <res.partner              > UPDATE 'Seagate'[15]
2013-07-12 16:43:27,015 res_partner_address.csv row[  15] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,036 res_partner_address.csv row[  15] col[ 0] INFO     <res.partner.address      > CREATE 'Seagate Technology, Cupertino, 10200 S. De Anza Blvd'[112]
2013-07-12 16:43:27,065 res_partner_address.csv row[  16] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,087 res_partner_address.csv row[  16] col[ 0] INFO     <res.partner              > UPDATE 'Syleam'[5]
2013-07-12 16:43:27,090 res_partner_address.csv row[  16] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,101 res_partner_address.csv row[  16] col[ 0] INFO     <res.partner.address      > CREATE 'Sebastien LANGE, Alencon, 1 place de l'Eglise'[113]
2013-07-12 16:43:27,142 res_partner_address.csv row[  17] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,172 res_partner_address.csv row[  17] col[ 0] INFO     <res.partner              > UPDATE 'Agrolait'[3]
2013-07-12 16:43:27,196 res_partner_address.csv row[  17] col[ 0] INFO     <res.partner.title        > NO UPDATE 'Madam'[3]
2013-07-12 16:43:27,209 res_partner_address.csv row[  17] col[ 0] INFO     <res.partner.address      > CREATE 'Sylvie Lelitre, Wavre, 69 rue de Chimay'[114]
2013-07-12 16:43:27,259 res_partner_address.csv row[  18] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,274 res_partner_address.csv row[  18] col[ 0] INFO     <res.partner              > UPDATE 'Tiny AT Work'[8]
2013-07-12 16:43:27,277 res_partner_address.csv row[  18] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,292 res_partner_address.csv row[  18] col[ 0] INFO     <res.partner.address      > CREATE 'Tiny Work, Boston, One Lincoln Street'[115]
2013-07-12 16:43:27,352 res_partner_address.csv row[  19] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,376 res_partner_address.csv row[  19] col[ 0] INFO     <res.partner              > UPDATE 'China Export'[10]
2013-07-12 16:43:27,383 res_partner_address.csv row[  19] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,398 res_partner_address.csv row[  19] col[ 0] INFO     <res.partner.address      > CREATE 'Zen, Shanghai, 52 Chop Suey street'[116]
2013-07-12 16:43:27,440 res_partner_address.csv row[  20] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,460 res_partner_address.csv row[  20] col[ 0] INFO     <res.partner              > UPDATE 'Agrolait'[3]
2013-07-12 16:43:27,471 res_partner_address.csv row[  20] col[ 0] INFO     <res.partner.title        > NO UPDATE 'Sir'[5]
2013-07-12 16:43:27,483 res_partner_address.csv row[  20] col[ 0] INFO     <res.partner.address      > CREATE 'Paul Lelitre, Wavre, 71 rue de Chimay'[117]
2013-07-12 16:43:27,514 res_partner_address.csv row[  21] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,547 res_partner_address.csv row[  21] col[ 0] INFO     <res.partner              > UPDATE 'Leclerc'[19]
2013-07-12 16:43:27,551 res_partner_address.csv row[  21] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,563 res_partner_address.csv row[  21] col[ 0] INFO     <res.partner.address      > CREATE 'Claude Leclerc, Brest, rue Grande'[118]
2013-07-12 16:43:27,597 res_partner_address.csv row[  22] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,613 res_partner_address.csv row[  22] col[ 0] INFO     <res.partner              > UPDATE 'Agrolait'[3]
2013-07-12 16:43:27,623 res_partner_address.csv row[  22] col[ 0] INFO     <res.partner.title        > NO UPDATE 'Sir'[5]
2013-07-12 16:43:27,646 res_partner_address.csv row[  22] col[ 0] INFO     <res.partner.address      > CREATE 'Serge Lelitre, Wavre, 69 rue de Chimay'[119]
2013-07-12 16:43:27,683 res_partner_address.csv row[  23] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,698 res_partner_address.csv row[  23] col[ 0] INFO     <res.partner              > UPDATE 'NotSoTiny SARL'[27]
2013-07-12 16:43:27,700 res_partner_address.csv row[  23] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,723 res_partner_address.csv row[  23] col[ 0] INFO     <res.partner.address      > CREATE 'Antwerpen, Antwerpsesteenweg 254'[120]
2013-07-12 16:43:27,756 res_partner_address.csv row[  24] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,780 res_partner_address.csv row[  24] col[ 0] INFO     <res.partner              > UPDATE 'Eric Dubois'[24]
2013-07-12 16:43:27,785 res_partner_address.csv row[  24] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,797 res_partner_address.csv row[  24] col[ 0] INFO     <res.partner.address      > CREATE 'Eric Dubois, Mons, Chaussee de Binche, 27'[121]
2013-07-12 16:43:27,855 res_partner_address.csv row[  25] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,876 res_partner_address.csv row[  25] col[ 0] INFO     <res.partner              > UPDATE 'Fabien Dupont'[25]
2013-07-12 16:43:27,881 res_partner_address.csv row[  25] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,895 res_partner_address.csv row[  25] col[ 0] INFO     <res.partner.address      > CREATE 'Fabien Dupont, Namur, Blvd Kennedy, 3'[122]
2013-07-12 16:43:27,923 res_partner_address.csv row[  26] col[ 0] INFO     <res.users                > NO UPDATE 'Martin Shain'[5]
2013-07-12 16:43:27,950 res_partner_address.csv row[  26] col[ 0] INFO     <res.partner              > UPDATE 'ZeroOne Inc'[31]
2013-07-12 16:43:27,952 res_partner_address.csv row[  26] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:27,964 res_partner_address.csv row[  26] col[ 0] INFO     <res.partner.address      > CREATE 'Geoff, Brussels'[123]
2013-07-12 16:43:27,992 res_partner_address.csv row[  27] col[ 0] INFO     <res.users                > NO UPDATE 'Lucky Luke'[6]
2013-07-12 16:43:28,011 res_partner_address.csv row[  27] col[ 0] INFO     <res.partner              > UPDATE 'The Shelve House'[28]
2013-07-12 16:43:28,014 res_partner_address.csv row[  27] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:28,029 res_partner_address.csv row[  27] col[ 0] INFO     <res.partner.address      > CREATE 'Henry Chard, Paris'[124]
2013-07-12 16:43:28,079 res_partner_address.csv row[  28] col[ 0] INFO     <res.users                > NO UPDATE 'Lucky Luke'[6]
2013-07-12 16:43:28,098 res_partner_address.csv row[  28] col[ 0] INFO     <res.partner              > UPDATE 'Vicking Direct'[29]
2013-07-12 16:43:28,102 res_partner_address.csv row[  28] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:28,122 res_partner_address.csv row[  28] col[ 0] INFO     <res.partner.address      > CREATE 'Leen Vandenloep, Puurs, Schoonmansveld 28'[125]
2013-07-12 16:43:28,157 res_partner_address.csv row[  29] col[ 0] INFO     <res.users                > NO UPDATE 'Lucky Luke'[6]
2013-07-12 16:43:28,181 res_partner_address.csv row[  29] col[ 0] INFO     <res.partner              > UPDATE 'Dubois sprl'[23]
2013-07-12 16:43:28,187 res_partner_address.csv row[  29] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:28,199 res_partner_address.csv row[  29] col[ 0] INFO     <res.partner.address      > CREATE 'Marc Dubois, Brussels, Avenue de la Liberte 56'[126]
2013-07-12 16:43:28,230 res_partner_address.csv row[  30] col[ 0] INFO     <res.users                > NO UPDATE 'Lucky Luke'[6]
2013-07-12 16:43:28,245 res_partner_address.csv row[  30] col[ 0] INFO     <res.partner              > UPDATE 'Mediapole SPRL'[16]
2013-07-12 16:43:28,248 res_partner_address.csv row[  30] col[ 0] WARNING  <res.partner.title        > Null values
2013-07-12 16:43:28,268 res_partner_address.csv row[  30] col[ 0] INFO     <res.partner.address      > CREATE 'Thomas Passot, Louvain-la-Neuve, Rue de l'Angelique, 1'[127]
2013-07-12 16:43:28,269 res_partner_address.csv row[  30] col[ 0] INFO     END import
