N°,Date,Comptes,Intitulé,Code opération,Débit,Crédit,Réf. Pièce
86,2013/02/15,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/15 facture,,9.00,
87,2013/02/15,401100,"Fournisseurs - Achats de biens et services
Péage - COFIROUTE",Péage 2013/02/15 paiement,9.00,,
88,2013/02/15,512100,"Banque
Péage - COFIROUTE",Péage 2013/02/15 paiement,,9.00,
89,2013/02/18,438000,"Organismes sociaux & Charges à payer et produits à recevoir
 Règlement acompte RSI AM 2013",RSI_AC_T1_2013 facture,718,,Appel cotisation T1 2013
90,2013/02/18,431000,Sécurité Sociale Règlement acompte RSI AM 2013,RSI_AC_T1_2013 facture,,718,Appel cotisation T1 2013
91,2013/02/18,431000,Sécurité Sociale Règlement acompte RSI AM T1 2013,RSI_AC_T1_2013 paiement,718,,Ch TBD
92,2013/02/18,512100,Banque Règlement acompte RSI AM T1 2013,RSI_AC_T1_2013 paiement,,718,Ch TBD
93,2013/02/25,625000,"Voyage et déplacement
Essence - ESSO PAVE",Essence 2013/02/25 facture,54.17,,
94,2013/02/25,401100,"Fournisseurs - Achats de biens et services
Essence - ESSO PAVE",Essence 2013/02/25 facture,,54.17,
95,2013/02/25,401100,"Fournisseurs - Achats de biens et services
Essence - ESSO PAVE",Essence 2013/02/25 paiement,54.17,,
96,2013/02/25,512100,"Banque
Essence - ESSO PAVE",Essence 2013/02/25 paiement,,54.17,
97,2013/02/28,706000,"Prestations de service
Facture EADS n°2 – prestations de février_2013",EADS_M2,,8940,FC EADS 2
98,2013/02/28,445710,"TVA collectée
Facture EADS n°2 – prestations de février_2013",EADS_M2,,1752.240,FC EADS 2
99,2013/02/28,411000,Clientes – ventes de prestations de service Facture EADS n°2 – prestations de février_2013,EADS_M2,10692.24,,FC EADS 2
100,2013/03/04,625000,"Voyage et déplacement
Essence - REL. CLAIR BOIS",Essence 2013/03/04 facture,62.08,,
101,2013/03/04,401100,"Fournisseurs - Achats de biens et services
Essence - REL. CLAIR BOIS",Essence 2013/03/04 facture,,62.08,
102,2013/03/04,401100,"Fournisseurs - Achats de biens et services
Essence - REL. CLAIR BOIS",Essence 2013/03/04 paiement,62.08,,
103,2013/03/04,512100,"Banque
Essence - REL. CLAIR BOIS",Essence 2013/03/04 paiement,,62.08,
104,2013/03/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 facture,22,,FF hsbc 3
105,2013/03/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC mars_2013,HSBC_M3_2013 facture,4.31,,FF hsbc 3
106,2013/03/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 facture,,26.31,FF hsbc 3
107,2013/03/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 service paiement,22,,PRLV TBD
108,2013/03/05,512100,"Banque
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 service paiement,,22,PRLV TBD
109,2013/03/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 TVA paiement,4.31,,PRLV TBD
110,2013/03/05,512100,"Banque
Frais tenue de compte HSBC mars_2013",HSBC_M3_2013 TVA paiement,,4.31,PRLV TBD
111,2013/03/06,644000,"Rémunération du travail de l'exploitant
Rémunération_Gérant_M3_2013",GERANT_M3_2013,1000,,PV 2012 & taux prél sociaux
112,2013/03/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M3_2013",GERANT_M3_2013,,1000,PV 2012 & taux prél sociaux
113,2013/03/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations RSI rémunération_Gérant_M3_2013",GERANT_M3_2013 cotisations RSI,,60.14,site RSI
114,2013/03/06,645800,"Cotisations aux autres organismes sociaux
Charges RSI M3_2013",GERANT_M3_2013 cotisations RSI,60.14,,site RSI
115,2013/03/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations Ursaaf – rémunération_Gérant_M3_2013",GERANT_M3_2013 cotisations URSAAF,,139.66,site Urssaf
116,2013/03/06,645100,"Cotisations à l'URSAAF
Charges URSAAF M3_2013",GERANT_M3_2013 cotisations URSAAF,139.66,,site Urssaf
117,2013/03/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations CIPAV – rémunération_Gérant_M3_2013",GERANT_M3_2013 cotisations CIPAV,,96.19,Site CIPAV
118,2013/03/06,645300,"Cotisations CIPAV
Charges CIPAV M3_2013",GERANT_M3_2013 cotisations CIPAV,96.19,,Site CIPAV
119,2013/03/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M3_2013",GERANT_M3_2013 salaire,1000,,PV 2012 & taux prél sociaux
120,2013/03/06,512100,"Banque
Rémunération_Gérant_M3_2013",GERANT_M3_2013 salaire,,1000,virt Gérant mars 2013
121,2013/03/07,120000,Résultat de l'exercice (déficit),AFFECTATION DEFICIT IN,,18173.03,PV approbation des comptes 2012
122,2013/03/07,110000,Report à nouveau 2013,AFFECTATION DEFICIT IN,18173.03,,PV approbation des comptes 2012
123,2013/03/10,411000,"Clients- ventes de prestations de service
Règlement EADS Facture n°1 - prestations de janvier_2013",EADS_M1_2013 paiement,,4736.160,VIR EADS
124,2013/03/10,512100,"Banque
Règlement EADS Facture n°1 - prestations de janvier_2013",EADS_M1_2013 paiement,4736.160,,VIR EADS
125,2013/03/11,625000,"Voyage et déplacement
Essence - PAREA CONFL STA",Essence 2013/03/11 facture,44.89,,
126,2013/03/11,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL STA",Essence 2013/03/11 facture,,44.89,
127,2013/03/11,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL STA",Essence 2013/03/11 paiement,44.89,,
128,2013/03/11,512100,"Banque
Essence - PAREA CONFL STA",Essence 2013/03/11 paiement,,44.89,
129,2013/03/16,448600,"Etat – Charges à payer
Cotisations à IS Règlement 1er acompte IS 2013",IS 1er acompte 2013 facture,1000,,
130,2013/03/16,444000,Etat-Imot sur les bénéfices,IS 1er acompte 2013 facture,,1000,
131,2013/03/18,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/03/18 facture,46.04,,
132,2013/03/18,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/03/18 facture,,46.04,
133,2013/03/18,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/03/18 paiement,46.04,,
134,2013/03/18,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/03/18 paiement,,46.04,
135,2013/03/25,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/03/25 facture,50.77,,
136,2013/03/25,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/03/25 facture,,50.77,
137,2013/03/25,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/03/25 paiement,50.77,,
138,2013/03/25,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/03/25 paiement,,50.77,
139,2013/03/26,444000,Etat-Imot sur les bénéfices,IS 1er acompte 2013 paiement,1000,,
140,2013/03/26,512100,Banque Règlement 1er acompte IS 2013,IS 1er acompte 2013 paiement,,1000,
141,2013/03/31,706000,"Prestations de service
Facture EADS n°3 – prestations de mars_2013",EADS_M3,,9450,FC EADS 3
142,2013/03/31,445710,"TVA collectée
Facture EADS n°3 – prestations de mars_2013",EADS_M3,,1852.200,FC EADS 3
143,2013/03/31,411000,Clientes – ventes de prestations de service Facture EADS n°3 – prestations de mars_2013,EADS_M3,11302.20,,FC EADS 3
144,2013/04/02,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/04/02 facture,54.77,,
145,2013/04/02,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/02 facture,,54.77,
146,2013/04/02,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/02 paiement,54.77,,
147,2013/04/02,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/04/02 paiement,,54.77,
148,2013/04/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 facture,22,,FF hsbc 4
149,2013/04/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC avril_2013,HSBC_M4_2013 facture,4.31,,FF hsbc 4
150,2013/04/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 facture,,26.31,FF hsbc 4
151,2013/04/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 service paiement,22,,PRLV TBD
152,2013/04/05,512100,"Banque
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 service paiement,,22,PRLV TBD
153,2013/04/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 TVA paiement,4.31,,PRLV TBD
154,2013/04/05,512100,"Banque
Frais tenue de compte HSBC avril_2013",HSBC_M4_2013 TVA paiement,,4.31,PRLV TBD
155,2013/04/06,644000,"Rémunération du travail de l'exploitant
Rémunération_Gérant_M4_2013",GERANT_M4_2013,1000,,PV 2012 & taux prél sociaux
156,2013/04/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M4_2013",GERANT_M4_2013,,1000,PV 2012 & taux prél sociaux
157,2013/04/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations RSI rémunération_Gérant_M4_2013",GERANT_M4_2013 cotisations RSI,,60.14,site RSI
158,2013/04/06,645800,"Cotisations aux autres organismes sociaux
Charges RSI M4_2013",GERANT_M4_2013 cotisations RSI,60.14,,site RSI
159,2013/04/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations Ursaaf – rémunération_Gérant_M4_2013",GERANT_M4_2013 cotisations URSAAF,,139.66,site Urssaf
160,2013/04/06,645100,"Cotisations à l'URSAAF
Charges URSAAF M4_2013",GERANT_M4_2013 cotisations URSAAF,139.66,,site Urssaf
161,2013/04/06,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Cotisations CIPAV – rémunération_Gérant_M4_2013",GERANT_M4_2013 cotisations CIPAV,,96.19,Site CIPAV
162,2013/04/06,645300,"Cotisations CIPAV
Charges CIPAV M4_2013",GERANT_M4_2013 cotisations CIPAV,96.19,,Site CIPAV
163,2013/04/06,421000,"Exploitant - rémunération due
Rémunération_Gérant_M4_2013",GERANT_M4_2013 salaire,1000,,PV 2012 & taux prél sociaux
164,2013/04/06,512100,"Banque
Rémunération_Gérant_M4_2013",GERANT_M4_2013 salaire,,1000,virt Gérant avril 2013
165,2013/04/08,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/04/08 facture,43.22,,
166,2013/04/08,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/08 facture,,43.22,
167,2013/04/08,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/08 paiement,43.22,,
168,2013/04/08,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/04/08 paiement,,43.22,
169,2013/04/10,411000,"Clients- ventes de prestations de service
Règlement EADS Facture n°2 - prestations de février_2013",EADS_M2_2013 paiement,,10692.240,VIR EADS
170,2013/04/10,512100,"Banque
Règlement EADS Facture n°2 - prestations de février_2013",EADS_M2_2013 paiement,10692.240,,VIR EADS
171,2013/04/15,625000,"Voyage et déplacement
Essence - PAREA CONFL STA",Essence 2013/04/15 facture,47.57,,
172,2013/04/15,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL STA",Essence 2013/04/15 facture,,47.57,
173,2013/04/15,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL STA",Essence 2013/04/15 paiement,47.57,,
174,2013/04/15,512100,"Banque
Essence - PAREA CONFL STA",Essence 2013/04/15 paiement,,47.57,
175,2013/04/18,438000,"Organismes sociaux & Charges à payer et produits à recevoir
 Règlement 1er acompte CIPAV 2013",CIPAV1 facture,3158,,Appel cotisation 05/2013
176,2013/04/18,437020,Cotisations aux autres organismes sociaux Règlement 1er acompte CIPAV 2013,CIPAV1 facture,,3158,Appel cotisation 05/2013
177,2013/04/18,437020,Cotisations aux autres organismes sociaux Règlement 1er acompte CIPAV 2013,CIPAV1 paiement,3158,,prlv cipav 
178,2013/04/18,512100,Banque Règlement 1er acompte CIPAV 2013,CIPAV1 paiement,,3158,prlv cipav 
179,2013/04/23,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/04/23 facture,43.33,,
180,2013/04/23,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/23 facture,,43.33,
181,2013/04/23,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/23 paiement,43.33,,
182,2013/04/23,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/04/23 paiement,,43.33,
183,2013/04/24,445710,"TVA collectée
TVA collectée solde 2012",TVA CA4 solde 2012 facture,0,,TVA CA4 T1_2013
184,2013/04/24,445810,Acomptes – régime simplifié d'imposition solde 2012,TVA CA4 solde 2012 facture,,0,TVA CA4 T1_2013
185,2013/04/24,445710,"TVA collectée
TVA collectée 1er trimestre 2013",TVA CA4 T1_2013 facture,3245,,TVA CA4 T1_2013
186,2013/04/24,445810,Acomptes – régime simplifié d'imposition Acompte TVA 1er trimestre 2013,TVA CA4 T1_2013 facture,,3245,TVA CA4 T1_2013
187,2013/04/24,445810,Acomptes – régime simplifié d'imposition Acompte TVA 1er trimestre 2013,TVA CA4 T1_2013 paiement,3245,,Ch TBD
188,2013/04/24,512100,"Banque
Règlement acompte TVA 1er trimestre 2013",TVA CA4 T1_2013 paiement,,3245,Ch TBD
189,2013/04/24,445810,Acomptes – régime simplifié d'imposition solde TVA 2012,TVA CA4 solde 2012 paiement,0,,Ch TBD
190,2013/04/24,512100,"Banque
Règlement acompte TVA  solde 2012",TVA CA4 solde 2012 paiement,,0,Ch TBD
191,2013/04/26,438000,"Organismes sociaux & Charges à payer et produits à recevoir
Règlement acompte RSI AM T2 2013",RSI_AC_T2_2013 facture,742,,Appel cotisation T2 2013
192,2013/04/26,431000,"Sécurité Sociale
Règlement acompte RSI AM T2 2013",RSI_AC_T2_2013 facture,,742,Appel cotisation T2 2013
193,2013/04/26,431000,Sécurité Sociale Règlement acompte RSI AM T2 2013,RSI_AC_T2_2013 paiement,718,,Ch TBD
194,2013/04/26,512100,Banque Règlement acompte RSI AM T2 2013,RSI_AC_T2_2013 paiement,,718,Ch TBD
195,2013/04/29,625000,"Voyage et déplacement
Essence - PAREA CONFL DAC",Essence 2013/04/29 facture,42.97,,
196,2013/04/29,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/29 facture,,42.97,
197,2013/04/29,401100,"Fournisseurs - Achats de biens et services
Essence - PAREA CONFL DAC",Essence 2013/04/29 paiement,42.97,,
198,2013/04/29,512100,"Banque
Essence - PAREA CONFL DAC",Essence 2013/04/29 paiement,,42.97,
199,2013/04/30,706000,"Prestations de service
Facture EADS n°4 – prestations de avril_2013",EADS_M4,,7650,FC EADS 4
200,2013/04/30,445710,"TVA collectée
Facture EADS n°4 – prestations de avril_2013",EADS_M4,,1499.400,FC EADS 4
201,2013/04/30,411000,Clientes – ventes de prestations de service Facture EADS n°4 – prestations de avril_2013,EADS_M4,9149.40,,FC EADS 4
202,2013/05/05,627000,"Services bancaires et assimilés
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 facture,22,,FF hsbc 5
203,2013/05/05,445660,TVA déductible TVA déductible sur frais tenue de compte HSBC mai_2013,HSBC_M5_2013 facture,4.31,,FF hsbc 5
204,2013/05/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 facture,,26.31,FF hsbc 5
205,2013/05/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 service paiement,22,,PRLV TBD
206,2013/05/05,512100,"Banque
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 service paiement,,22,PRLV TBD
207,2013/05/05,401100,"Fournisseurs - Achats de biens et services
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 TVA paiement,4.31,,PRLV TBD
208,2013/05/05,512100,"Banque
Frais tenue de compte HSBC mai_2013",HSBC_M5_2013 TVA paiement,,4.31,PRLV TBD
